PTNBH	Provinsi asal peminat	Jumlah pendaftar SNBT-UTBK	% of Total
UNIVERSITAS ANDALAS	Kalimantan Barat	11	0
UNIVERSITAS ANDALAS	Kalimantan Selatan	8	0
UNIVERSITAS ANDALAS	Kalimantan Tengah	4	0
UNIVERSITAS ANDALAS	Kalimantan Timur	12	0
UNIVERSITAS ANDALAS	Kalimantan Utara	3	0
UNIVERSITAS ANDALAS	Kepulauan Bangka Belitung	44	0.1
UNIVERSITAS ANDALAS	Kepulauan Riau	748	1.9
UNIVERSITAS ANDALAS	Lampung	89	0.2
UNIVERSITAS ANDALAS	Maluku	7	0
UNIVERSITAS ANDALAS	Maluku Utara	8	0
UNIVERSITAS ANDALAS	Nusa Tenggara Barat	8	0
UNIVERSITAS ANDALAS	Nusa Tenggara Timur	9	0
UNIVERSITAS ANDALAS	Papua	11	0
UNIVERSITAS ANDALAS	Papua Barat	4	0
UNIVERSITAS ANDALAS	Riau	3404	8.5
UNIVERSITAS ANDALAS	Sulawesi Barat	3	0
UNIVERSITAS ANDALAS	Sulawesi Selatan	16	0
UNIVERSITAS ANDALAS	Sulawesi Tengah	1	0
UNIVERSITAS ANDALAS	Sulawesi Tenggara	7	0
UNIVERSITAS ANDALAS	Sulawesi Utara	2	0
UNIVERSITAS ANDALAS	Sumatera Barat	28581	71.5
UNIVERSITAS ANDALAS	Sumatera Selatan	347	0.9
UNIVERSITAS ANDALAS	Sumatera Utara	2642	6.6
UNIVERSITAS BRAWIJAYA	Aceh	241	0.3
UNIVERSITAS BRAWIJAYA	Bali	764	1
UNIVERSITAS BRAWIJAYA	Banten	3234	4
UNIVERSITAS BRAWIJAYA	Bengkulu	277	0.3
UNIVERSITAS BRAWIJAYA	DI Yogyakarta	810	1
UNIVERSITAS BRAWIJAYA	DKI Jakarta	4720	5.9
UNIVERSITAS BRAWIJAYA	Gorontalo	102	0.1
UNIVERSITAS BRAWIJAYA	Jambi	373	0.5
UNIVERSITAS BRAWIJAYA	Jawa Barat	8938	11.2
UNIVERSITAS BRAWIJAYA	Jawa Tengah	5035	6.3
UNIVERSITAS BRAWIJAYA	Jawa Timur	40233	50.3
UNIVERSITAS BRAWIJAYA	Kalimantan Barat	564	0.7
UNIVERSITAS BRAWIJAYA	Kalimantan Selatan	786	1
UNIVERSITAS BRAWIJAYA	Kalimantan Tengah	530	0.7
UNIVERSITAS BRAWIJAYA	Kalimantan Timur	1192	1.5
UNIVERSITAS BRAWIJAYA	Kalimantan Utara	175	0.2
UNIVERSITAS BRAWIJAYA	Kepulauan Bangka Belitung	220	0.3
UNIVERSITAS BRAWIJAYA	Kepulauan Riau	761	1
UNIVERSITAS BRAWIJAYA	Lampung	779	1
UNIVERSITAS BRAWIJAYA	Maluku	159	0.2
UNIVERSITAS BRAWIJAYA	Maluku Utara	124	0.2
UNIVERSITAS BRAWIJAYA	Nusa Tenggara Barat	1015	1.3
UNIVERSITAS BRAWIJAYA	Nusa Tenggara Timur	539	0.7
UNIVERSITAS BRAWIJAYA	Papua	239	0.3
UNIVERSITAS BRAWIJAYA	Papua Barat	120	0.2
UNIVERSITAS BRAWIJAYA	Riau	1142	1.4
UNIVERSITAS BRAWIJAYA	Sulawesi Barat	50	0.1
UNIVERSITAS BRAWIJAYA	Sulawesi Selatan	764	1
UNIVERSITAS BRAWIJAYA	Sulawesi Tengah	211	0.3
UNIVERSITAS BRAWIJAYA	Sulawesi Tenggara	238	0.3
UNIVERSITAS BRAWIJAYA	Sulawesi Utara	170	0.2
UNIVERSITAS BRAWIJAYA	Sumatera Barat	1030	1.3
UNIVERSITAS BRAWIJAYA	Sumatera Selatan	710	0.9
UNIVERSITAS BRAWIJAYA	Sumatera Utara	3721	4.7
UNIVERSITAS DIPONEGORO	Aceh	134	0.2
UNIVERSITAS DIPONEGORO	Bali	144	0.2
UNIVERSITAS DIPONEGORO	Banten	4243	5
UNIVERSITAS DIPONEGORO	Bengkulu	307	0.4
UNIVERSITAS DIPONEGORO	DI Yogyakarta	1708	2
UNIVERSITAS DIPONEGORO	DKI Jakarta	5126	6.1
UNIVERSITAS DIPONEGORO	Gorontalo	44	0.1
